"Libellé";"idBank";"Dernière mise à jour";"Période";"1901";"1902";"1903";"1904";"1905";"1906";"1907";"1908";"1909";"1910";"1911";"1912";"1913";"1914";"1915";"1916";"1917";"1918";"1919";"1920";"1921";"1922";"1923";"1924";"1925";"1926";"1927";"1928";"1929";"1930";"1931";"1932";"1933";"1934";"1935";"1936";"1937";"1938";"1939";"1940";"1941";"1942";"1943";"1944";"1945";"1946";"1947";"1948";"1949";"1950";"1951";"1952";"1953";"1954";"1955";"1956";"1957";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"Nombre de mariages domiciliés entre personnes de sexe différent - Indre";"001721558";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1472";"1466";"1400";"1289";"1241";"1187";"1050";"1059";"1026";"872";"895";"857";"831";"826";"880";"853";"803";"808";"735";"700";"758";"912";"882";"817";"854";"928";"854";"777";"817";"748";"830";"793";"777";"785";"735";"712";"737";"664";"653";"611";"576";"546";"610";"633";"552";"369";"528";"604";"630";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Indre-et-Loire";"001721559";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3446";"3200";"3241";"3047";"2896";"2932";"2678";"2774";"2647";"2446";"2283";"2265";"2234";"2313";"2403";"2423";"2402";"2335";"2263";"2216";"2223";"2522";"2557";"2479";"2592";"2742";"2606";"2370";"2288";"2330";"2323";"2248";"2300";"2213";"2040";"2312";"2023";"2028";"1966";"1970";"1918";"1909";"1846";"1890";"1836";"1319";"1799";"1937";"1945";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Loir-et-Cher";"001721560";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1794";"1754";"1716";"1609";"1647";"1502";"1451";"1440";"1353";"1238";"1217";"1211";"1205";"1203";"1239";"1303";"1246";"1200";"1164";"1177";"1172";"1349";"1370";"1261";"1282";"1345";"1278";"1228";"1208";"1161";"1257";"1176";"1186";"1186";"1160";"1232";"1111";"1147";"1069";"1086";"1027";"959";"936";"987";"863";"635";"944";"1157";"1171";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Loiret";"001721561";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3483";"3483";"3287";"3384";"3084";"3111";"2936";"2816";"2737";"2565";"2546";"2539";"2429";"2637";"2610";"2715";"2634";"2684";"2565";"2562";"2500";"2856";"2929";"2735";"2841";"3109";"2925";"2838";"2850";"2723";"2887";"2612";"2549";"2538";"2483";"2537";"2335";"2405";"2265";"2247";"2243";"2130";"2083";"2138";"2067";"1464";"2077";"2376";"2381";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Centre-Val de Loire";"001721537";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"14454";"14098";"13728";"13272";"12687";"12393";"11425";"11463";"11075";"10259";"9880";"9733";"9488";"9917";"10210";"10275";"9990";"9864";"9440";"9532";"9443";"10697";"10849";"10272";"10712";"11303";"10655";"10177";"10091";"9875";"10355";"9689";"9710";"9575";"9026";"9512";"8670";"8786";"8385";"8310";"8005";"7843";"7618";"7821";"7322";"5250";"7402";"8446";"8635";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Côte-d'Or";"001721566";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3479";"3384";"3314";"3080";"2952";"2912";"2805";"2751";"2670";"2450";"2322";"2292";"2365";"2341";"2327";"2444";"2338";"2252";"2158";"2187";"2224";"2417";"2493";"2293";"2404";"2429";"2314";"2222";"2171";"2092";"2141";"2146";"2170";"2043";"1926";"2045";"1894";"1833";"1720";"1702";"1582";"1571";"1695";"1556";"1591";"1028";"1453";"1676";"1709";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Nièvre";"001721567";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1567";"1529";"1463";"1335";"1338";"1310";"1260";"1141";"1093";"961";"904";"935";"911";"945";"889";"893";"926";"854";"790";"809";"816";"871";"862";"856";"864";"918";"799";"823";"780";"755";"784";"752";"784";"788";"670";"659";"654";"605";"582";"547";"555";"504";"513";"530";"498";"293";"480";"548";"561";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Saône-et-Loire";"001721568";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3918";"3647";"3721";"3597";"3318";"3279";"3033";"3016";"2750";"2564";"2474";"2321";"2295";"2306";"2341";"2373";"2301";"2256";"1992";"1934";"1977";"2179";"2308";"2150";"2222";"2284";"2135";"1970";"1925";"1890";"2015";"1861";"1860";"1881";"1673";"1778";"1726";"1797";"1604";"1670";"1573";"1539";"1562";"1544";"1454";"1008";"1428";"1711";"1658";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Yonne";"001721569";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1950";"1876";"1928";"1761";"1654";"1587";"1533";"1505";"1357";"1337";"1255";"1298";"1238";"1222";"1269";"1393";"1322";"1248";"1218";"1214";"1346";"1430";"1398";"1394";"1476";"1519";"1384";"1362";"1303";"1323";"1389";"1369";"1262";"1289";"1145";"1177";"1173";"1111";"1092";"1008";"1066";"1004";"1078";"969";"1012";"634";"929";"1091";"1078";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Doubs";"001721582";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3535";"3447";"3336";"3404";"3125";"3011";"2841";"2881";"2657";"2345";"2325";"2300";"2297";"2308";"2516";"2576";"2590";"2422";"2274";"2236";"2151";"2422";"2420";"2354";"2453";"2625";"2384";"2403";"2295";"2242";"2292";"2199";"2272";"2109";"1983";"1945";"1946";"1978";"1904";"1904";"1813";"1811";"1790";"1821";"1789";"1184";"1634";"1676";"1789";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Jura";"001721583";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1524";"1383";"1435";"1388";"1305";"1349";"1223";"1146";"1132";"1080";"983";"1033";"974";"982";"1101";"1085";"1049";"966";"863";"906";"922";"1132";"1128";"991";"1036";"1032";"1056";"1068";"947";"956";"997";"1000";"953";"944";"838";"844";"794";"842";"800";"755";"773";"847";"747";"775";"785";"494";"695";"816";"879";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Haute-Saône";"001721584";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1446";"1476";"1435";"1362";"1356";"1316";"1279";"1198";"1169";"1000";"1005";"911";"975";"929";"959";"923";"902";"865";"833";"834";"845";"962";"987";"911";"974";"992";"917";"929";"881";"901";"941";"859";"921";"935";"803";"844";"816";"839";"818";"805";"744";"776";"711";"691";"716";"478";"664";"788";"760";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Territoire de Belfort";"001721585";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"967";"944";"835";"920";"848";"871";"815";"806";"768";"731";"672";"640";"663";"651";"693";"727";"680";"728";"648";"688";"628";"732";"718";"705";"771";"738";"766";"738";"698";"674";"632";"606";"618";"598";"551";"575";"500";"502";"540";"474";"486";"517";"527";"484";"478";"309";"452";"452";"455";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Bourgogne-Franche-Comté";"001743695";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18386";"17686";"17467";"16847";"15896";"15635";"14789";"14444";"13596";"12468";"11940";"11730";"11718";"11684";"12095";"12414";"12108";"11591";"10776";"10808";"10909";"12145";"12314";"11654";"12200";"12537";"11755";"11515";"11000";"10833";"11191";"10792";"10840";"10587";"9589";"9867";"9503";"9507";"9060";"8865";"8592";"8569";"8623";"8370";"8323";"5428";"7735";"8758";"8889";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Eure";"001721553";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3142";"3137";"3104";"2918";"2832";"2615";"2504";"2498";"2494";"2322";"2175";"2150";"2118";"2211";"2394";"2420";"2447";"2374";"2240";"2266";"2359";"2669";"2643";"2488";"2656";"2837";"2801";"2444";"2433";"2514";"2401";"2538";"2587";"2569";"2315";"2292";"2350";"2413";"2183";"2110";"2066";"2008";"2053";"2051";"1991";"1212";"1933";"2233";"2240";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Seine-Maritime";"001721554";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9509";"9146";"8918";"8740";"8182";"7975";"7490";"7304";"7066";"6440";"6132";"5790";"5871";"5970";"6067";"6296";"5956";"5835";"5462";"5614";"5678";"6215";"6127";"5940";"6134";"6378";"6335";"5768";"5441";"5517";"5488";"5508";"5618";"5160";"4843";"4866";"4719";"4762";"4448";"4388";"4438";"4308";"4350";"4338";"4107";"2614";"3811";"4683";"4433";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Calvados";"001721562";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4653";"4475";"4299";"3964";"3850";"3648";"3373";"3368";"3195";"2822";"2737";"2675";"2725";"2898";"2844";"2892";"2792";"2791";"2710";"2719";"2810";"2927";"3106";"2940";"3221";"3236";"3016";"2986";"2912";"3026";"2970";"2888";"2818";"2767";"2538";"2654";"2575";"2499";"2302";"2272";"2257";"2195";"2218";"2226";"2136";"1386";"2057";"2514";"2417";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Manche";"001721563";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3233";"3049";"2983";"2801";"2704";"2725";"2538";"2613";"2543";"2304";"2244";"2182";"2101";"2083";"2106";"2061";"2062";"1995";"1885";"1899";"1897";"2109";"2171";"2005";"2065";"2198";"1999";"1838";"1866";"1868";"1763";"1942";"1822";"1695";"1579";"1667";"1631";"1582";"1483";"1576";"1565";"1501";"1544";"1604";"1436";"917";"1275";"1678";"1660";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
"Nombre de mariages domiciliés entre personnes de sexe différent - Orne";"001721564";"18/06/2025 15:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2055";"1938";"1890";"1860";"1758";"1695";"1671";"1572";"1432";"1224";"1264";"1145";"1164";"1160";"1217";"1205";"1242";"1105";"1055";"1105";"1095";"1216";"1219";"1106";"1185";"1266";"1154";"1123";"1073";"1060";"1087";"1138";"1060";"1021";"883";"1000";"943";"943";"791";"857";"795";"780";"766";"774";"753";"478";"726";"865";"894";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";""
